,count,Random,MostPop,UserKNN,MF,PMF,BPR,NMF,WMF,PF,NeuMF,VAECF
19764,0.0056621579112928,8,0,28,3,0,0,0,14,0,0,0
1462,0.0056621579112928,8,0,15,18,0,0,0,5,59,0,0
12362,0.0056621579112928,15,0,22,0,0,0,0,6,0,0,0
1368,0.0056621579112928,11,0,13,0,0,0,0,8,127,0,0
3858,0.0056621579112928,12,0,27,0,0,0,0,29,0,0,14
86,0.0056621579112928,11,0,37,1,0,0,0,27,52,0,203
2715,0.0056621579112928,11,0,33,1,8,0,0,28,93,0,0
3500,0.0056621579112928,12,0,12,0,0,0,0,5,0,0,0
2652,0.0056621579112928,11,0,39,0,0,0,0,25,21,0,0
1513,0.0056621579112928,12,0,13,1,0,0,0,6,0,0,0
1651,0.0056621579112928,9,0,18,4,0,0,0,8,0,0,0
19940,0.0056621579112928,11,0,19,1,11,0,0,6,0,0,0
1672,0.0056621579112928,8,0,73,0,0,0,0,40,86,0,38
3495,0.0056621579112928,9,0,29,0,0,0,0,33,62,0,8
14572,0.0055048757470902,10,0,26,10,1,0,1,35,0,0,0
827,0.0055048757470902,7,0,11,12,0,0,1,16,0,0,0
25583,0.0055048757470902,5,0,25,2,0,0,0,19,0,0,8
3969,0.0055048757470902,9,0,37,8,1,0,0,12,1,0,0
11869,0.0055048757470902,11,0,24,0,0,0,0,13,51,0,45
1313,0.0055048757470902,7,0,16,5,19,0,0,11,88,0,0
1483,0.0055048757470902,12,0,17,0,14,0,0,17,0,0,0
12960,0.0055048757470902,14,0,14,0,0,0,0,3,0,0,11
2455,0.0055048757470902,9,0,19,4,0,0,0,26,0,0,0
3780,0.0055048757470902,14,0,25,0,0,0,0,20,0,0,0
9918,0.0055048757470902,10,0,27,0,0,0,0,14,0,0,0
10248,0.0055048757470902,10,0,17,2,0,0,0,2,61,0,0
2929,0.0055048757470902,9,0,33,0,0,0,0,16,0,0,0
2183,0.0055048757470902,13,0,23,0,0,0,0,26,0,0,0
1749,0.0055048757470902,11,0,8,1,0,0,0,5,0,0,0
2214,0.0055048757470902,10,0,25,20,0,0,0,24,0,0,0
8518,0.0055048757470902,10,0,15,4,1,0,0,8,0,0,0
11039,0.0055048757470902,19,0,57,7,22,0,1,54,120,0,205
17722,0.0055048757470902,9,0,22,2,5,0,0,19,0,0,106
1633,0.0055048757470902,12,0,15,0,0,0,0,25,0,0,3
21035,0.0053475935828877,13,0,44,2,0,0,0,23,58,0,0
1816,0.0053475935828877,6,0,23,48,0,0,1,21,0,0,94
14203,0.0053475935828877,11,0,36,2,0,0,0,33,0,0,12
20691,0.0053475935828877,14,0,16,3,0,0,0,16,39,0,0
1930,0.0053475935828877,8,0,23,0,17,0,0,12,0,0,0
22953,0.0053475935828877,9,0,29,8,0,0,0,24,2,0,47
3616,0.0053475935828877,7,0,31,1,0,0,0,15,0,0,65
6268,0.0053475935828877,12,0,17,1,0,0,0,15,0,0,0
10618,0.0053475935828877,12,0,22,3,0,0,0,31,0,0,0
9489,0.0053475935828877,13,0,20,15,0,0,0,18,31,0,0
28,0.0053475935828877,12,0,13,0,0,0,0,6,0,0,0
681,0.0053475935828877,8,0,6,0,0,0,0,2,0,0,0
