,num_female,num_male,num_other,num_unknown,num_total,ratio_female,male_female_difference,new_male_female_difference_Random,new_male_female_difference_MostPop,new_male_female_difference_UserKNN,new_male_female_difference_MF,new_male_female_difference_PMF,new_male_female_difference_BPR,new_male_female_difference_NMF,new_male_female_difference_WMF,new_male_female_difference_PF,new_male_female_difference_NeuMF,new_male_female_difference_VAECF
109276,5,0,0,0,5,1.0,-1.0,-0.1,-0.4,-0.4,-0.1,0.0,-0.4,0.4,-0.6,0.0,-0.4,0.0
109122,5,0,0,0,5,1.0,-1.0,0.0,-0.4,0.0,-0.1,0.4,-0.4,0.4,-0.4,0.6,-0.4,-0.8
148590,20,0,0,0,20,1.0,-1.0,0.2,-0.4,-1.0,0.5,0.4,-0.2,0.2,0.4,-0.8,-0.4,-0.8
108481,6,0,0,0,6,1.0,-1.0,0.3,-0.4,-0.8,-0.1,0.4,-0.4,0.2,0.0,0.2,-0.4,0.4
108261,8,0,0,0,8,1.0,-1.0,0.3,-0.4,-0.6,0.0,0.4,-0.4,0.0,-0.8,-0.2,-0.4,-0.8
107865,14,0,0,0,14,1.0,-1.0,0.2,-0.4,-1.0,0.5,0.4,-0.4,0.3,-1.0,-0.4,-0.4,-1.0
107453,9,0,0,0,9,1.0,-1.0,-0.6,-0.4,-1.0,0.3,0.4,-0.4,0.6,-1.0,0.4,-0.4,-1.0
106369,12,0,0,0,12,1.0,-1.0,0.1,-0.4,-1.0,0.1,0.2,-0.4,0.1,-0.8,-0.6,-0.4,1.0
106302,6,0,0,0,6,1.0,-1.0,-0.2,-0.4,-1.0,0.2,0.4,-0.2,0.4,-0.7,-0.6,-0.4,-1.0
156483,5,0,0,0,5,1.0,-1.0,-0.2,-0.4,-0.8,0.3,0.4,-0.4,0.2,-1.0,0.4,-0.4,-1.0
105874,4,0,0,0,4,1.0,-1.0,0.3,-0.4,-0.6,0.1,0.2,-0.4,0.8,-0.4,-0.6,-0.4,-0.6
104447,5,0,0,0,5,1.0,-1.0,0.2,-0.4,-1.0,-0.1,-0.8,-0.4,0.3,-0.9,-0.6,-0.4,-1.0
104437,6,0,0,0,6,1.0,-1.0,0.0,-0.4,-0.8,-0.1,0.2,-0.4,0.7,-0.1,0.0,-0.4,0.2
159868,13,0,0,0,13,1.0,-1.0,-0.1,-0.4,-1.0,-0.1,0.4,-0.4,0.0,-0.8,0.4,-0.4,-0.8
74493,8,0,0,0,8,1.0,-1.0,0.1,-0.4,-1.0,0.4,0.4,-0.2,0.5,-1.0,0.6,-0.4,-1.0
160878,5,0,0,0,5,1.0,-1.0,0.1,-0.4,-0.8,0.0,0.4,-0.2,0.7,-0.8,0.6,-0.4,-1.0
153719,6,0,0,0,6,1.0,-1.0,-0.1,-0.4,-0.8,0.5,0.6,-0.4,0.0,-1.0,0.0,-0.4,-1.0
162219,9,0,0,0,9,1.0,-1.0,-0.3,-0.4,-1.0,0.5,0.2,-0.4,-0.4,-1.0,0.8,-0.4,-0.4
112598,7,0,0,0,7,1.0,-1.0,0.8,-0.4,-0.8,0.2,0.4,-0.4,0.1,-0.4,-0.4,-0.4,-0.8
113624,7,0,0,0,7,1.0,-1.0,-0.8,-0.4,-0.4,0.1,-0.2,-0.4,0.2,-0.2,0.0,-0.4,-0.2
127432,7,0,0,0,7,1.0,-1.0,0.0,-0.4,-1.0,-0.1,0.4,-0.4,0.1,-1.0,-0.6,-0.4,-1.0
131238,5,0,0,0,5,1.0,-1.0,0.2,-0.4,-0.4,0.1,-0.4,-0.4,0.1,-0.6,-0.2,-0.4,-0.2
127122,5,0,0,0,5,1.0,-1.0,-0.2,-0.4,-1.0,0.3,0.0,-0.4,0.4,-1.0,-0.4,-0.4,-1.0
126860,8,0,0,0,8,1.0,-1.0,-0.3,-0.4,-0.8,0.1,0.6,-0.4,0.0,-0.4,0.4,-0.4,0.0
126827,4,0,0,0,4,1.0,-1.0,-0.2,-0.4,-1.0,0.3,0.2,-0.2,0.8,-0.6,0.2,-0.4,-0.4
133166,9,0,0,0,9,1.0,-1.0,-0.2,-0.4,-1.0,0.0,-0.8,-0.4,0.4,-1.0,0.6,-0.4,-0.9
133258,10,0,0,0,10,1.0,-1.0,0.0,-0.4,-0.6,0.4,0.4,-0.4,0.1,-0.2,-0.2,-0.4,-0.6
124989,22,0,0,0,22,1.0,-1.0,-0.3,-0.4,-1.0,0.0,-0.2,-0.4,0.3,-1.0,-0.6,-0.4,-1.0
135665,5,0,0,0,5,1.0,-1.0,-0.2,-0.4,-0.8,0.4,0.0,-0.4,0.0,0.2,0.0,-0.4,-0.4
135869,6,0,0,0,6,1.0,-1.0,0.4,-0.4,-0.6,0.4,0.2,-0.4,0.0,-0.8,-0.2,-0.4,0.0
135965,5,0,0,0,5,1.0,-1.0,0.4,-0.4,-0.2,0.2,0.4,-0.2,0.0,-1.0,0.6,-0.4,-0.4
137437,3,0,0,0,3,1.0,-1.0,0.0,-0.4,-0.8,-0.1,0.3,-0.4,-0.1,-0.8,-0.8,-0.4,0.4
148142,5,0,0,0,5,1.0,-1.0,0.0,-0.4,-1.0,0.2,0.2,-0.2,0.4,-0.9,-0.2,-0.4,-1.0
275481,5,0,0,0,5,1.0,-1.0,0.0,-0.4,-0.8,0.5,0.4,-0.4,-0.1,-0.4,1.0,-0.4,-0.6
