,count,Random,MostPop,UserKNN,MF,PMF,BPR,NMF,WMF,PF,NeuMF,VAECF
1479,0.007711677683349,8,0,26,82,0,0,8,32,0,0,2
1372,0.0075542965061378,8,0,20,10,0,0,0,15,0,0,0
1024,0.0075542965061378,12,0,12,2,0,0,0,6,36,0,0
419,0.0075542965061378,12,0,32,70,2,0,1,31,129,0,0
377,0.0075542965061378,12,0,37,6,0,0,0,27,0,0,0
1295,0.0075542965061378,19,0,73,0,0,0,0,19,88,0,28
1874,0.0075542965061378,12,0,26,0,3,0,4,9,0,0,0
2794,0.0075542965061378,12,0,27,14,12,0,5,30,61,0,0
731,0.0075542965061378,11,0,32,54,0,0,2,23,114,0,0
1093,0.0075542965061378,13,0,24,10,0,0,0,26,126,0,0
169,0.0075542965061378,19,0,29,0,0,0,1,53,113,0,0
1089,0.0075542965061378,16,0,16,2,0,0,0,3,0,0,0
1326,0.0075542965061378,11,0,65,1,0,0,0,24,26,0,17
250,0.0075542965061378,15,0,56,0,0,0,0,11,3,0,0
1147,0.0075542965061378,16,0,33,8,0,0,0,10,121,0,0
1416,0.0075542965061378,13,0,16,2,0,0,0,7,0,0,0
1142,0.0075542965061378,14,0,24,1,0,0,0,19,0,0,32
818,0.0073969153289266,17,0,23,120,49,0,159,15,0,0,0
810,0.0073969153289266,13,0,24,14,0,0,3,5,0,0,22
1939,0.0073969153289266,14,0,28,75,0,0,1,34,123,0,0
2859,0.0073969153289266,18,0,48,1,0,0,0,16,13,0,51
234,0.0073969153289266,14,0,29,3,0,0,0,25,133,0,0
1521,0.0073969153289266,13,0,16,0,0,0,0,4,54,0,0
497,0.0073969153289266,16,0,24,2,0,0,0,6,0,0,0
3220,0.0073969153289266,16,0,83,0,11,0,0,54,96,0,270
736,0.0073969153289266,11,0,26,1,0,0,0,10,0,0,0
2733,0.0073969153289266,15,0,37,282,59,0,18,37,149,0,0
402,0.0073969153289266,13,0,25,12,0,0,86,15,0,0,0
1726,0.0072395341517154,13,0,26,20,1,0,3,31,0,0,0
1573,0.0072395341517154,14,0,20,2,0,0,0,17,0,0,0
15,0.0072395341517154,18,0,52,6,0,0,0,26,4,0,0
1577,0.0072395341517154,16,0,20,4,0,0,0,7,101,0,0
2361,0.0072395341517154,19,0,32,12,0,0,0,9,37,0,0
1409,0.0072395341517154,10,0,29,26,1,0,0,27,72,0,0
2829,0.0072395341517154,19,0,27,1,0,0,0,5,0,0,0
566,0.0070821529745042,20,0,44,0,0,0,0,13,40,0,0
147,0.0070821529745042,18,0,31,5,0,0,0,17,95,0,0
1928,0.0070821529745042,18,0,20,19,0,0,0,14,0,0,0
835,0.0070821529745042,16,0,36,22,5,0,0,52,150,0,30
608,0.0070821529745042,11,0,17,1,0,0,0,9,0,0,0
56,0.0070821529745042,19,0,31,2,0,0,0,4,0,0,3
1315,0.0070821529745042,16,0,33,17,2,0,0,19,102,0,61
1826,0.0070821529745042,20,0,20,3,0,0,0,4,18,0,0
225,0.0070821529745042,26,0,22,1,0,0,0,20,0,0,0
2688,0.0070821529745042,19,0,38,0,0,0,0,16,26,0,0
1378,0.0070821529745042,10,0,20,33,0,0,1,16,0,0,0
2789,0.006924771797293,11,0,31,0,2,0,0,20,23,0,0
2626,0.006924771797293,17,0,28,1,0,0,0,9,0,0,0
1591,0.006924771797293,12,0,27,37,1,0,0,26,0,0,0
146,0.006924771797293,20,0,21,1,0,0,0,6,0,0,2
636,0.006924771797293,10,0,20,3,0,0,0,9,0,0,3
211,0.006924771797293,12,0,27,2,0,0,0,9,0,0,0
1710,0.006924771797293,12,0,33,2,0,0,0,29,0,0,5
1369,0.006924771797293,11,0,14,4,0,0,2,8,0,0,0
2216,0.006924771797293,12,0,34,9,0,0,0,23,0,0,0
3736,0.006924771797293,9,0,44,1,0,0,0,17,0,0,30
2444,0.006924771797293,18,0,42,0,1,0,0,28,0,0,69
456,0.006924771797293,21,0,23,60,0,0,0,28,0,0,0
2280,0.006924771797293,16,0,61,4,2,0,0,18,49,0,0
547,0.0067673906200818,13,0,27,31,0,0,0,27,0,0,0
1455,0.0067673906200818,14,0,12,0,0,0,0,5,0,0,0
870,0.0067673906200818,14,0,13,0,0,0,0,2,0,0,0
578,0.0067673906200818,12,0,19,0,0,0,0,3,0,0,0
1683,0.0067673906200818,17,0,25,4,0,0,0,3,65,0,0
698,0.0067673906200818,11,0,26,9,0,0,1,25,54,0,0
3308,0.0067673906200818,17,0,22,15,4,0,0,27,0,0,17
2061,0.0067673906200818,19,0,21,2,1,0,0,15,73,0,0
983,0.0067673906200818,18,0,26,11,0,0,0,26,59,0,0
720,0.0067673906200818,15,0,42,0,0,0,0,10,46,0,0
1207,0.0067673906200818,11,0,27,26,0,0,0,27,52,0,0
2834,0.0066100094428706,19,0,25,3,0,0,0,26,20,0,0
659,0.0066100094428706,14,0,20,1,0,0,0,11,0,0,0
2809,0.0066100094428706,14,0,71,0,10,0,0,48,0,0,276
2779,0.0066100094428706,15,0,36,9,0,0,0,31,78,0,25
772,0.0066100094428706,18,0,27,10,0,0,0,11,68,0,0
21,0.0066100094428706,18,0,33,4,0,0,0,30,68,0,0
1296,0.0066100094428706,17,0,30,4,58,0,2,9,0,0,0
274,0.0066100094428706,17,0,29,76,1,0,18,24,0,0,0
500,0.0066100094428706,6,0,29,5,0,0,0,22,126,0,37
200,0.0066100094428706,18,0,29,2,0,0,0,20,46,0,0
1553,0.0066100094428706,9,0,18,0,0,0,0,4,0,0,0
153,0.0066100094428706,18,0,24,20,0,0,4,8,11,0,0
2453,0.0066100094428706,9,0,45,8,0,0,0,23,73,0,0
1943,0.0066100094428706,13,0,11,1,0,0,0,8,0,0,0
3153,0.0066100094428706,12,0,16,21,0,0,0,10,0,0,0
2320,0.0066100094428706,12,0,24,2,0,0,0,15,82,0,0
137,0.0066100094428706,20,0,32,3,0,0,0,61,93,0,0
1912,0.0066100094428706,10,0,28,0,0,0,0,9,57,0,0
1674,0.0064526282656594,10,0,20,5,0,0,0,19,0,0,0
1476,0.0064526282656594,11,0,19,52,181,0,48,11,84,0,0
1067,0.0064526282656594,18,0,27,10,0,0,0,7,98,0,1
305,0.0064526282656594,12,0,17,47,0,0,3,10,35,0,0
3049,0.0064526282656594,14,0,17,63,85,0,28,9,79,0,0
552,0.0064526282656594,15,0,27,19,1,0,15,18,0,0,20
